,true,predict,make,model,score,alpha,epsilon,max_iter
6848,9.994241915804592,10.1057122533303,Seat,Leon,-0.49108269763265644,1,1.35,600
12613,10.503696737436805,13.121141163867332,Seat,Leon,-0.49108269763265644,1,1.35,600
13622,10.273325483001141,10.343592450653922,Seat,Leon,-0.49108269763265644,1,1.35,600
13614,9.350102314351341,9.329288726560877,Seat,Leon,-0.49108269763265644,1,1.35,600
3236,10.16199824768763,10.122745558206615,Seat,Leon,-0.49108269763265644,1,1.35,600
14248,9.581903928408666,9.76727252634749,Seat,Leon,-0.49108269763265644,1,1.35,600
13135,9.735068900911164,9.817506426477403,Seat,Leon,-0.49108269763265644,1,1.35,600
16314,9.680031452383618,9.594565515079426,Seat,Leon,-0.49108269763265644,1,1.35,600
11954,9.371608519572305,9.329961636389102,Seat,Leon,-0.49108269763265644,1,1.35,600
11231,10.340128278112742,10.421595410290386,Seat,Leon,-0.49108269763265644,1,1.35,600
16590,9.996522418503318,9.798936125003236,Seat,Leon,-0.49108269763265644,1,1.35,600
14152,9.305195902988862,9.631484346893322,Seat,Leon,-0.49108269763265644,1,1.35,600
8994,10.262908722142885,10.264771565336446,Seat,Leon,-0.49108269763265644,1,1.35,600
10867,10.517320926376348,13.176867997794556,Seat,Leon,-0.49108269763265644,1,1.35,600
91,9.997660722553377,10.009806625572653,Seat,Leon,-0.49108269763265644,1,1.35,600
15516,9.740674462130217,9.78764625714193,Seat,Leon,-0.49108269763265644,1,1.35,600
5413,10.16199824768763,10.197270594744056,Seat,Leon,-0.49108269763265644,1,1.35,600
3548,9.946930110378965,9.93210345886597,Seat,Leon,-0.49108269763265644,1,1.35,600
13320,9.822819649468673,9.755796310578642,Seat,Leon,-0.49108269763265644,1,1.35,600
2332,10.081633737919603,9.94675309933474,Seat,Leon,-0.49108269763265644,1,1.35,600
9575,10.432644132986843,10.31586159049743,Seat,Leon,-0.49108269763265644,1,1.35,600
11997,9.875602349046593,10.049720971785407,Seat,Leon,-0.49108269763265644,1,1.35,600
13432,10.432644132986843,10.419688466054152,Seat,Leon,-0.49108269763265644,1,1.35,600
11246,9.433083843269053,9.436450171444239,Seat,Leon,-0.49108269763265644,1,1.35,600
2230,9.740674462130217,9.615506777968683,Seat,Leon,-0.49108269763265644,1,1.35,600
7596,9.468851067127684,9.515397030270549,Seat,Leon,-0.49108269763265644,1,1.35,600
34,9.90098442231801,9.835183200505822,Seat,Leon,-0.49108269763265644,1,1.35,600
10457,8.922658299524402,8.873837561088632,Seat,Leon,-0.49108269763265644,1,1.35,600
11704,9.61547209118311,9.633634585445927,Seat,Leon,-0.49108269763265644,1,1.35,600
